회사명,시가총액,주식수,액면가,업종명,회사코드,현재가,전날종가,고가,저가,시가,PER,추정PER,PBR,동일업종PER,17.12매출액(억원),18.12매출액(억원),19.12매출액(억원),20예상매출액(억원),19.2Q매출액(억원),19.3Q매출액(억원),19.4Q매출액(억원),20.1Q매출액(억원),20.2Q매출액(억원),20.3Q예상매출액(억원),17.12영업이익(억원),18.12영업이익(억원),19.12영업이익(억원),20예상영업이익(억원),19.2Q영업이익(억원),19.2영업이익(억원),19.4Q영업이익(억원),20.1Q영업이익(억원),20.2Q영업이익(억원),20.3Q예상영업이익(억원),17.12당기순이익(억원),18.12당기순이익(억원),19.12당기순이익(억원),20예상당기순이익(억원),19.2Q당기순이익(억원),19.3Q당기순이익(억원),19.4Q당기순이익(억원),20.1Q당기순이익(억원),20.2Q당기순이익(억원),20.3Q예상당기순이익(억원),17.12영업이익률(%),18.12영업이익률(%),19.12영업이익률(%),20예상영업이익률(%),19.2Q영업이익률(%),19.3Q영업이익률(%),19.4Q영업이익률(%),20.1Q영업이익률(%),20.2Q영업이익률(%),20.3Q예상영업이익률(%),17.12ROE(%),18.12ROE(%),19.12ROE(%),20예상ROE(%),19.2QROE(%),19.3QROE(%),19.3QROE(%),19.4QROE(%),20.2QROE(%),20.3Q예상ROE(%),17.12부채비율(%),18.12부채비율(%),19.12부채비율(%),20예상부채비율(%),19.2Q부채비율(%),19.3Q부채비율(%),19.4Q부채비율(%),20.1Q부채비율(%),20.2Q부채비율(%),20.3Q예상부채비율(%),17.12EPS(원),18.12EPS(원),19.12EPS(원),20예상EPS(원),19.2QEPS(원),19.3QEPS(원),19.4QEPS(원),20.1QEPS(원),20.2QEPS(원),20.3Q예상EPS(원),17.12PER(배),18.12PER(배),19.12PER(배),20예상PER(배),19.2QPER(배),19.3QPER(배),19.4QPER(배),20.1QPER(배),20.2QPER(배),20.3Q예상PER(배),17.12BPS(원),18.12BPS(원),19.12BPS(원),20예상BPS(원),19.2QBPS(원),19.3QBPS(원),19.4QBPS(원),20.1QBPS(원),20.2QBPS(원),20.3Q예상BPS(원),17.12PBR(배),18.12PBR(배),19.12PBR(배),20예상PBR(배),19.2QPBR(배),19.3QPBR(배),19.4QPBR(배),20.1QPBR(배),20.2QPBR(배),20.3Q예상PBR(배),종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인
대우건설,,"415,622,638","5,000",건설,'047040,"3,015","2,945","3,035","2,970","2,965",6.82,5,0.47,6.45,"117,668","106,055","86,519","84,367","22,308","20,809","23,093","19,858","19,632","20,626","4,290","6,287","3,641","4,387","1,017","1,190",448,"1,209",811,"1,093","2,579","2,973","2,012","2,600",826,475,217,619,524,640,3.65,5.93,4.21,5.2,4.56,5.72,1.94,6.09,4.13,5.3,12.12,13.2,8.8,10.02,10.24,9.11,8.8,8.7,7.27,,285.25,276.83,289.74,,301.42,272.71,289.74,284.6,264.37,,623,719,502,625,199,114,52,149,126,154,9.5,7.5,9.44,4.71,8.6,9.19,9.44,5.71,7.76,19.09,"5,458","5,554","5,984","6,647","5,941","6,124","5,984","6,259","6,352",,1.08,0.97,0.79,0.44,0.83,0.79,0.79,0.47,0.54,,"3,015","2,945","3,080","3,020","3,130","3,210","3,205","3,235","3,200","3,370","3,370","3,525","3,510","3,615","3,600","3,525","3,510","3,590","3,570","3,655","2,959,985","20,806,884","2,681,825","4,342,416","3,703,580","1,828,063","1,162,710","755,780","2,141,779","1,226,352","1,720,632","1,768,712","4,142,554","1,388,502","2,459,853","1,403,010","1,838,015","1,509,617","2,596,542","4,655,043","-221,348","-240,494","-57,071","-552,920","-731,622","-221,000","-134,202","31,386","-523,189","-155,036","152,864","-232,636","-1,023,200","-27,942","-216,300","-4,751","-366,402","50,555","-204,813","424,377","-420,786","-3,948,258","-144,776","-548,602","-1,152,670","-699,373","-149,489","-5,913","-38,828","-35,197","-414,401","230,459","-1,243,512","-51,364","388,955","-147,719","-256,958","-201,073","-351,437","488,504"
대원제약,,"20,243,603",500,제약,'003220,"22,300","21,400","22,400","21,550","21,100",16.69,,2.12,132.15,"2,655","2,867","3,178","3,345",788,755,873,806,747,808,253,307,351,382,84,84,104,101,74,91,103,233,269,281,63,63,85,73,44,,9.53,10.73,11.05,11.42,10.73,11.11,11.86,12.5,9.92,11.26,6.52,13.51,14.05,13.44,13.02,13.32,14.05,14.83,13.62,,35.13,50.35,60.38,,59.43,58.51,60.38,60.8,57.74,,531,"1,173","1,348","1,418",315,319,426,368,223,331,36.15,12.99,12.47,15.09,13.07,11.95,12.47,9.98,12.88,64.66,"8,421","9,200","10,275","11,326","9,564","9,888","10,275","10,325","10,515",,2.28,1.66,1.64,1.89,1.6,1.5,1.64,1.38,1.64,,"22,300","21,400","21,150","21,300","22,250","21,500","20,050","19,750","20,850","20,200","19,750","19,950","20,400","21,250","21,100","21,550","21,650","22,100","21,950","21,800","624,354","406,348","689,135","899,650","4,508,752","1,486,523","345,295","519,678","1,109,735","382,174","721,565","509,937","684,462","431,581","403,539","347,875","742,226","480,021","1,150,014","1,370,541","-1,054","-2,398",-609,"8,335","-2,902","24,658","-3,363","-7,665","-47,885","-1,606","-11,730",-630,"-31,685",-751,"-20,815",-326,"-7,600","-2,268","-2,852",275,"17,993","65,611","21,906","31,807","-112,694","-62,852","106,161","-58,589","-70,673","16,645","53,594","22,586","-106,012","69,383","-29,901","61,365","-13,133","26,927","-76,316","-35,052"
대한방직,,"5,300,000","1,000","섬유,의류,신발,호화품",'001070,"33,900","33,850","34,000","33,950","33,700",N/A,,0.95,23.84,"2,086","2,090","1,563",,377,378,411,473,384,,-99,-125,-130,,-17,-16,-72,9,7,,-96,124,-160,,3,-20,-107,-3,23,,-4.76,-5.98,-8.3,,-4.54,-4.17,-17.63,2,1.8,,-5.51,7.26,-10.27,,9.77,12.17,-10.27,-8.32,-7.68,,111.44,51.28,56.83,,39.85,43.63,56.83,61.7,56.42,,"-1,808","2,365","-2,943",,60,-367,"-1,965",-57,438,,-8.23,6.17,-6.85,,7.7,5.7,-6.85,-8.14,-11.82,,"31,785","34,528","35,259",,"38,216","38,220","35,259","35,070","35,707",,0.47,0.42,0.57,,0.56,0.51,0.57,0.54,0.65,,"33,900","33,850","33,800","33,750","33,800","33,900","33,850","33,850","33,300","33,750","33,300","34,400","34,400","33,800","33,450","33,400","33,250","33,250","33,250","33,250","5,349","8,715","5,672","5,857","4,610","6,933","2,656","2,174","14,950","5,554","9,403","7,333","10,303","2,775","14,930","2,989","6,697","7,864","2,967","5,561","1,085",-9,196,234,25,60,-6,-206,-309,-800,-835,"-1,355",-592,230,462,-11,370,-793,38,198,-8,270,-176,228,-171,69,-110,203,1,39,"-1,202","-1,143","1,111",327,702,726,284,-131,-468,-198
대한제강,,"24,646,734","1,000",철강,'084010,"6,460","6,300","6,490","6,260","6,260",5.17,,0.29,19.11,"12,285","11,338","10,217","9,070","2,949","2,378","2,297","2,053","2,469","2,120",471,46,420,600,156,60,87,94,221,90,296,-178,296,440,131,22,49,79,157,60,3.84,0.4,4.11,6.62,5.28,2.51,3.8,4.56,8.93,4.25,6.86,-3.83,6.73,9.44,1.76,4.82,6.73,6.33,6.64,,63.6,51.09,37.47,,54.58,44.33,37.47,36.74,38.4,,"1,251",-695,"1,223","1,826",546,90,200,321,638,,7.57,-8.04,4.93,3.45,25.56,7.33,4.93,4.28,5.59,,"20,446","19,356","20,463","22,852","20,188","20,332","20,463","20,805","21,965",,0.46,0.29,0.29,0.28,0.41,0.32,0.29,0.24,0.32,,"6,460","6,300","6,220","6,200","6,370","6,400","6,330","6,290","6,200","6,600","6,500","6,930","6,820","6,880","6,640","6,570","6,490","6,580","6,770","6,670","37,919","50,007","76,871","93,310","57,978","53,425","58,410","91,525","130,133","48,316","112,625","128,240","162,695","317,228","124,480","45,557","37,367","83,445","95,135","75,738",956,"-6,913","-11,018","-18,588","-1,198","-13,714","-16,133",-798,"-9,909","-2,644",-555,641,"-34,832","5,890","-28,416","-5,345","-7,804","-10,885","-22,191",-533,"2,250","18,945","19,289","-9,835","-7,802","9,715","5,657","2,102","-6,214","3,561","-1,476","14,105","-7,655","12,260","7,428","8,646","-3,296","1,840",-613,"5,896"
대한제당,,"8,969,658","2,500",식품,'001790,"18,550","18,700","19,000","18,700","18,450",11.62,,0.37,24.96,"12,745","12,084","12,044",,"3,083","3,168","2,993","2,837","3,146",,165,327,295,,81,108,77,73,64,,108,98,144,,56,34,73,1,44,,1.29,2.71,2.45,,2.62,3.42,2.57,2.58,2.04,,2.35,2.15,3.22,,0.8,0.67,3.22,3.68,3.35,,155.18,151.22,146.2,,159.6,155.42,146.2,152,151.79,,"1,103","1,012","1,533",,580,344,789,15,448,,22.22,18.78,13.02,,58.21,65.77,13.02,9.11,12.34,,"49,947","49,966","50,588",,"49,994","50,246","50,588","49,852","50,544",,0.49,0.38,0.39,,0.44,0.42,0.39,0.32,0.39,,"18,550","18,700","18,600","18,900","18,950","19,000","18,500","18,800","18,650","19,200","18,800","20,100","20,000","19,900","19,950","19,950","20,100","20,500","19,800","20,050","18,476","20,909","17,856","9,816","9,985","45,535","13,890","4,880","17,374","21,565","45,565","65,110","19,122","21,554","30,586","50,003","42,533","108,665","10,678","21,288","4,096","4,312",147,-260,"2,538","6,658",8,-480,"4,915","5,410","4,757","5,704","-3,834",-311,"2,665","4,691",-162,"-2,895",-310,"5,428","-2,371","1,002","-1,230","-2,495","-2,564","-1,414","-3,783","-2,112","-4,476","-3,112",-340,"8,416","1,543",-662,-139,"7,154","-4,827","10,371",-25,"2,430"
대현,,"44,282,310",500,"섬유,의류,신발,호화품",'016090,"1,725","1,715","1,740","1,720","1,705",6.85,,0.39,23.84,"2,837","2,863","2,996",,645,611,947,627,581,,139,179,202,,44,14,83,31,4,,125,150,166,,39,15,65,23,9,,4.89,6.25,6.76,,6.78,2.37,8.74,4.88,0.77,,7.44,8.34,8.65,,8.72,8.88,8.65,7.35,5.75,,42.73,39.5,32.4,,31.19,36.63,32.4,26.34,23.01,,276,331,376,,87,33,148,51,21,,9.85,6.96,6.64,,7.09,6.45,6.64,5.12,6.43,,"3,906","4,192","4,498",,"4,306","4,328","4,498","4,445","4,456",,0.7,0.55,0.55,,0.59,0.55,0.55,0.37,0.36,,"1,725","1,715","1,700","1,670","1,720","1,725","1,700","1,685","1,660","1,770","1,750","1,890","1,905","1,920","1,840","1,830","1,795","1,815","1,815","1,840","151,025","137,518","139,734","136,953","148,200","203,599","81,024","121,429","289,897","164,800","488,861","442,688","306,433","809,518","783,682","157,648","181,044","198,693","155,533","250,459","-5,813","-8,455","-4,582","-15,890","-6,484","-6,015","-22,949","-3,171","-56,707","-5,243","-1,276","23,146","-13,489","28,990","-167,167","-11,970","-9,951","-23,267","-16,061","21,685",43,"15,900","2,695","-25,735","12,024","18,776","10,185","5,850","-33,454","1,851","-7,542","-2,034","-34,868","80,665","-26,119","34,788","-15,048","-10,574","-6,221","20,340"
덕양산업,,"32,564,980",500,자동차부품,'024900,"1,920","1,875","2,000","1,890","1,850",N/A,,1.41,14.79,"10,465","12,922","13,594",,"3,371","3,340","3,951","2,721","2,960",,44,36,-86,,-40,-32,6,-41,-29,,13,-22,-197,,-50,-52,-81,-37,-24,,0.42,0.28,-0.63,,-1.19,-0.95,0.14,-1.51,-0.97,,1.31,-0.35,-26.33,,-4.61,-6.24,-26.33,-29.22,-27.85,,415.59,580.78,726.61,,566.95,594.91,726.61,666.57,820.16,,23,-6,-422,,-103,-91,-208,-70,-54,,60.87,-199.82,-2.95,,-17.99,-11.05,-2.95,-1.6,-3.03,,"1,836","1,776","1,448",,"1,701","1,615","1,448","1,441","1,360",,0.77,0.7,0.86,,0.86,0.72,0.86,0.52,0.94,,"1,920","1,875","1,860","1,805","1,870","1,900","1,815","1,740","1,805","1,980","1,725","1,880","2,050","2,125","1,635","1,665","1,535","1,540","1,525","1,525","2,654,915","849,576","5,010,319","897,804","1,096,645","2,359,684","3,598,247","1,592,704","3,018,177","15,540,988","3,160,580","6,597,072","30,892,612","28,556,474","2,669,166","17,383,963","533,173","588,123","461,837","490,387",-19,-46,"-2,702",273,-3,-31,-31,64,-44,"-92,223","93,253",-47,-430,-45,"-14,429","14,359","5,938",-47,-212,-216,"-6,479","5,246","-91,120","-96,675","45,860","90,913","-28,878","58,687","-55,787","-100,207","43,599","28,037","18,391","-96,744",583,"-367,571","14,291","67,402","100,954","88,354"
동원금속,,"46,754,933",500,자동차부품,'018500,682,682,691,687,680,31,,0.62,14.79,"4,273","4,586","4,566",,"1,078","1,157",913,"1,419","1,037",,-62,-135,201,,36,51,78,37,-11,,-120,-228,164,,23,104,33,-2,-130,,-1.45,-2.95,4.41,,3.31,4.4,8.54,2.6,-1.1,,-19.25,-43.38,31.69,,-36.8,-6.71,-1.42,30.47,0.82,,684.78,"1,136.09",701.79,,"1,072.61",789.28,786.14,701.79,826.1,,-302,-487,350,,49,222,70,-5,-279,,-4.79,-1.5,1.42,,-1.91,-10.37,-48.24,1.47,84.96,,"1,400",845,"1,363",,914,"1,204","1,240","1,363","1,107",,1.03,0.86,0.36,,0.93,0.73,0.71,0.36,0.63,,682,682,688,697,708,689,688,707,690,699,685,728,743,740,734,694,682,676,663,669,"384,815","188,112","342,321","133,786","160,247","154,967","108,493","321,437","427,376","186,409","419,458","441,810","335,916","534,363","818,445","239,457","221,030","189,931","172,352","113,982",-24,-61,5,382,-2,-4,-418,426,3,-11,"-11,424","11,437",7,-25,-41,13,"14,459",29,33,-269,"50,473","20,719","15,457","-13,891","7,678","15,787","12,361","-31,652","-2,173","3,031","11,197","-35,541",59,"-12,463","29,030","21,634","3,872","20,743","-22,187","-6,043"
두산인프라코어,,"209,353,402","5,000",기계,'042670,"7,850","8,040","8,070","8,050","7,820",11.91,11,0.68,-37.69,"65,679","77,301","81,858","77,371","22,000","18,567","19,466","20,093","19,757","18,757","6,608","8,481","8,404","5,855","2,972","1,546","1,386","1,810","1,543","1,247","2,966","3,942","3,957","2,520","1,728",533,389,746,781,500,10.06,10.97,10.27,7.57,13.51,8.33,7.12,9.01,7.81,6.65,8.13,14.04,11.59,6.52,12.24,10.4,11.59,9.21,5.93,,223.84,188.66,165.69,,176.24,170.12,165.69,176.63,170.94,,716,"1,184","1,153",741,562,90,73,256,240,105,12.14,6.41,4.82,10.85,5.2,6.07,4.82,3.21,11,76.51,"7,662","9,209","10,677","12,075","10,606","10,887","10,677","11,451","11,564",,1.13,0.82,0.52,0.67,0.59,0.58,0.52,0.27,0.63,,"7,850","8,040","7,880","7,610","7,770","7,900","7,680","7,700","7,720","7,380","7,300","7,910","7,870","7,790","7,760","7,850","7,590","7,440","7,410","7,420","5,228,426","12,451,873","29,996,755","4,171,174","4,189,748","6,327,961","4,038,510","6,282,145","30,331,867","5,242,024","7,438,307","28,762,770","5,282,213","6,239,118","8,236,653","17,793,481","79,108,928","5,885,374","4,931,191","14,864,733","-56,763","-59,856","-95,849","6,537","34,968","13,777","42,115","26,692","-586,260","34,570","-36,795","131,822","480,753","253,725","-4,847","197,801","-1,295,404","144,692","-126,925","335,163","-413,416","1,100,410","373,141","-327,207","-368,929","668,892","245,491","-113,298","-415,706","31,460","158,279","-759,380","-209,112","329,680","-20,128","632,737","-243,370","43,058","-10,796","277,088"
디씨엠,,"11,700,000",500,비철금속,'024090,"10,800","10,700","10,850","10,750","10,750",6.3,,0.56,19.25,"1,336","1,221","1,453",,361,381,314,455,259,,166,85,175,,55,57,6,44,25,,141,72,235,,77,46,60,22,61,,12.39,6.94,12.06,,15.15,15.02,2.02,9.68,9.55,,8.6,4.29,14.18,,9.92,10.88,13.19,12.39,11.99,,15.55,15.37,18.46,,20.03,21.05,18.46,22.67,14.39,,"1,113",570,"2,005",,592,389,509,187,521,,11.1,19.12,6.06,,9.2,8.17,6.52,6.1,6.19,,"16,565","16,738","18,820",,"17,772","18,290","18,820","18,598","19,269",,0.75,0.65,0.65,,0.7,0.68,0.65,0.56,0.55,,"10,800","10,700","10,800","10,700","10,800","10,650","10,550","10,600","10,600","10,750","10,650","10,850","10,950","11,000","11,000","11,000","10,900","10,900","10,950","11,000","2,225","3,917","3,535","4,961","2,717","2,372","8,815","4,960","14,768","3,290","8,426","30,278","10,022","2,294","5,459","5,569","6,440","8,165","2,005","3,537",-17,-17,375,78,-9,-15,-16,38,12,0,-22,-13,-159,9,-999,-14,-21,124,-65,121,-600,57,-206,202,181,-53,140,-36,-187,-309,-350,673,-426,-147,4,-42,-203,"-1,299",-21,0
디티알오토모티브,,"9,994,005",500,자동차부품,'007340,"22,450","22,200","22,500","22,400","21,950",4.03,,0.32,14.79,"8,779","9,085","9,298",,"2,405","2,427","2,113","2,327","1,349",,595,717,802,,215,240,161,203,27,,535,585,683,,151,213,139,202,5,,6.78,7.89,8.63,,8.95,9.89,7.62,8.74,1.99,,7.77,10.76,11.5,,10.81,10.98,11.5,11.86,9.43,,51.84,54.52,45.62,,60.13,55.66,45.62,51.96,39.72,,"2,199","5,581","6,584",,"1,419","2,077","1,345","2,040",104,,14.53,5.73,4.46,,5.54,4.92,4.46,3.66,4.44,,"56,602","62,158","68,983",,"65,566","67,743","68,983","70,111","70,485",,0.56,0.51,0.43,,0.5,0.45,0.43,0.36,0.35,,"22,450","22,200","22,000","21,800","22,000","22,450","22,450","22,450","22,100","23,100","23,550","24,400","24,450","24,500","24,500","24,400","24,200","24,300","24,300","24,200","22,506","29,053","38,370","40,070","28,390","22,183","16,810","8,197","29,079","19,366","44,571","17,743","16,108","7,518","20,330","15,539","4,263","14,939","9,866","7,521","-7,912","-8,717","-17,084","-26,354","-17,369","-11,562","-7,506",649,"-5,214","-7,025","-10,063","-9,529","-4,980",-311,"-8,297","-3,549",-21,"-5,223","-2,379","-1,965",-713,"1,673",74,"-1,488","-2,381",851,"-1,709",562,"-3,200","-1,743","7,125",903,"2,204",824,"1,985","3,544",330,442,-777,-342
롯데손해보험 1Q,,"310,336,320","1,000",손해보험,'000400,"1,590","1,590","1,600","1,585","1,575",N/A,,0.52,8.55,"33,179","35,245","36,736",,"9,542","9,709","9,968","7,599","15,651","5,190","1,011","1,213",-709,,258,265,-73,"-1,159",550,,746,913,-512,,188,211,-54,-856,386,346,3.05,3.44,-1.93,,2.71,2.73,-0.74,-15.25,3.51,,14.24,16.44,-6.69,,16.99,15.11,10.52,-6.69,-3.98,,"2,239.35","2,423.35","1,584.25",,"2,190.62","2,016.45","2,056.78","1,584.25","1,649.05",,556,680,-300,,140,157,-40,-308,124,111,5.22,3.88,-6.91,,3.86,3.53,4.46,-6.91,-8.95,15.29,"4,113","4,234","3,125",,"4,712","5,226","5,266","3,125","3,068",,0.71,0.62,0.66,,0.58,0.45,0.4,0.66,0.43,,"1,590","1,590","1,590","1,595","1,605","1,620","1,610","1,595","1,560","1,670","1,635","1,710","1,750","1,750","1,700","1,680","1,705","1,690","1,700","1,720","242,935","225,175","421,249","265,497","270,763","252,362","350,625","446,138","862,334","402,722","425,350","377,077","520,910","762,998","441,502","530,237","405,259","283,874","234,528","150,787","-27,070","-11,611","-78,330","-1,399","-1,752","-29,134",780,"-3,444","-175,424","-41,317",-169,"-11,391","12,245","53,538","-65,538","-21,507","-2,859","-2,957","-16,034","-5,125","3,975","23,833","-16,928","-12,307","-26,186","-22,268","15,114","55,302","-46,763","20,035","-63,328","-33,903","-46,450","110,386","-3,692","-5,853","23,123","-15,626","-33,706","-9,890"
롯데칠성,,"7,993,460",500,음료,'005300,"93,700","94,100","94,300","93,500","93,000",N/A,25,0.64,-32.4,"22,793","23,463","24,295","23,449","6,775","6,571","5,200","5,074","5,980","6,642",754,850,"1,077",937,463,490,-69,63,293,509,"1,215",-500,"-1,440",325,-450,298,"-1,298",-35,155,342,3.31,3.62,4.43,4,6.84,7.46,-1.33,1.23,4.9,7.66,7.36,-3.78,-11.68,2.68,-7.3,-6.88,-11.68,-11.68,-7.07,,165.61,167.6,165.19,,174,162.68,165.19,166.47,181.63,,"10,766","-5,480","-16,243","3,716","-5,090","3,342","-14,771",-346,"1,682","3,636",12.34,-25.55,-8.62,25.32,-15.86,-13.29,-8.62,-5.04,-10.11,25.88,"159,898","149,481","147,638","148,577","159,456","163,487","147,638","143,327","145,448",,0.83,0.94,0.95,0.63,1.08,0.85,0.95,0.59,0.7,,"93,700","94,100","94,000","91,800","93,900","95,300","95,000","96,500","95,100","99,700","99,800","102,000","101,500","101,500","100,500","101,000","102,000","101,500","101,000","102,000","16,099","26,167","22,991","43,629","32,982","22,170","25,125","17,039","51,820","28,802","41,719","36,164","36,793","60,402","64,989","41,090","29,042","24,641","26,442","34,367","-5,552","1,441","-2,633","-18,866","-10,976","-6,469","-7,744","-1,448","-1,958","-3,514","2,213",-37,"-1,241","-12,570","-30,192","-10,673","-3,912","-1,262","-5,511",-443,"-1,456","1,236","3,874",954,"-1,693",530,"-1,849","1,714","-8,369",207,-464,"-2,168",545,"7,231","-5,654","-3,145","-6,008","-5,209",430,"4,684"
롯데하이마트,,"23,607,712","5,000",,'071840,"30,750","30,050","30,750","29,800","29,750",N/A,8,0.37,-12.74,"40,993","41,127","40,265","40,108","10,709","9,836","9,350","9,253","11,157","10,168","2,075","1,865","1,099","1,414",458,334,63,195,693,411,"1,484",855,-999,871,321,215,"-1,689",114,433,288,5.06,4.53,2.73,3.53,4.28,3.4,0.68,2.11,6.21,4.04,7.57,4.18,-5.02,4.46,2.6,1.28,-5.02,-5.28,-4.62,,58.19,51.18,61.69,,68.83,64.3,61.69,67.73,78.33,,"6,288","3,620","-4,232","3,687","1,360",910,"-7,153",481,"1,832","1,222",10.96,12.89,-7.3,8.15,19.25,26.33,-7.3,-3.56,-9.8,24.6,"85,810","87,338","81,410","83,933","87,403","88,349","81,410","80,809","82,681",,0.8,0.53,0.38,0.36,0.5,0.34,0.38,0.19,0.47,,"30,750","30,050","30,300","30,050","30,850","30,850","29,350","29,700","29,200","30,700","29,650","31,550","31,700","32,100","31,050","31,300","29,650","29,200","28,900","29,600","68,683","59,213","80,786","111,849","66,137","112,712","109,947","89,813","125,079","89,132","146,396","91,530","146,735","241,536","193,478","250,487","291,904","163,118","193,205","130,611","7,800","-2,346","-9,477","-28,638","-5,489","-5,504","-43,234","-12,015","-18,985","-5,204","-7,699","-1,379","-23,352","-10,391","-47,434","-38,091","-53,495","-48,230","-103,404","-69,237","4,174","10,411","25,715","15,538","8,349","59,521","27,323","41,003","24,464","42,815","-5,368","19,125","-25,830","56,473","3,565","35,394","10,914","28,983","31,558","42,340"
미래에셋생명 1Q,,"177,016,189","5,000",생명보험,'085620,"4,150","3,750","4,180","3,765","3,765",7.69,,0.28,13.06,"43,220","37,926","34,858","18,700","8,890","8,773","9,325","7,875","10,239",,640,"1,424","1,407","-1,890",386,369,329,322,295,,"2,211","1,066","1,095","1,220",279,373,250,193,253,,1.48,3.75,4.04,-10.11,4.34,4.21,3.53,4.09,2.88,,11.25,5.18,4.98,,5.16,6.17,6.74,4.98,4.83,,"1,631.37","1,577.53","1,527.03",,"1,555.09","1,487.37","1,426.56","1,527.03","1,508.78",,"1,330",553,553,,141,188,126,97,128,,3.95,8.34,7.48,,9.63,6.74,5.88,7.48,5.74,,"12,464","12,938","14,639",,"13,399","14,209","14,850","14,639","14,702",,0.42,0.36,0.28,,0.38,0.31,0.29,0.28,0.21,,"4,150","3,750","3,780","3,825","3,950","3,905","3,930","3,850","3,720","3,990","3,740","3,850","3,540","3,435","3,285","3,255","3,250","3,300","3,330","3,330","989,128","371,801","419,546","156,552","121,408","156,111","186,823","480,223","578,165","716,077","540,435","2,311,002","606,971","553,949","176,297","228,873","112,507","151,640","174,973","206,412","153,368","150,749","-23,868","53,738","57,615","56,493","38,648","149,142","90,831","164,907","262,077","257,582","132,238","116,088","-30,423","-12,172","11,760","24,221","48,073","126,797","207,066","-47,403","-27,718","-41,995","5,805","-29,655",-444,"17,098","-73,878","14,951","-4,518","14,848","-62,188","151,912","10,994","-5,706","-7,694","-18,905","1,258","16,447"
미원홀딩스,,"2,320,000",500,화학,'107590,"52,000","52,000","52,700","52,000","51,900",7.09,,0.77,77.78,"1,176","1,420","1,884",,410,411,658,717,703,,92,36,78,,16,21,20,51,58,,127,97,163,,40,46,31,76,66,,7.8,2.54,4.12,,3.93,5.08,3.1,7.07,8.21,,7.5,7.62,11.03,,9.72,10.41,11.03,11.51,11.52,,33.88,68.11,59.49,,69.11,64.58,59.49,69.48,68.09,,"3,331","4,154","6,591",,"1,709","1,966",933,"2,520","1,913",,14.56,8.32,6.24,,7.61,6.64,6.24,5.7,6.1,,"53,040","56,573","62,937",,"60,156","62,249","62,937","65,790","67,392",,0.91,0.61,0.65,,0.71,0.66,0.65,0.62,0.66,,"52,000","52,000","52,500","51,600","52,700","52,400","50,500","50,500","50,100","50,800","50,900","55,000","54,900","51,200","50,600","49,750","49,550","48,950","49,100","49,100","1,948","1,617","1,251","1,867","1,394","3,878","2,178","1,805","4,323","6,566","10,097","8,121","17,208","6,341","11,567","4,695","2,787","2,542","3,026","5,519",-1,-4,-72,23,-1,-1,0,0,0,-303,-579,-2,810,-12,-5,0,36,-8,-7,-13,-10,-151,-183,-218,-157,621,233,327,-76,"1,185",-408,"-1,403",-251,641,"1,151",260,455,143,244,803
백산,,"24,200,000",500,"섬유,의류,신발,호화품",'035150,"4,260","4,265","4,290","4,290","4,220",N/A,,0.78,23.84,"2,114","3,231","4,689",,"1,062","1,313","1,157","1,265",671,,237,215,320,,29,152,38,116,-172,,87,149,62,,-34,106,-94,120,-227,,11.2,6.66,6.83,,2.7,11.61,3.27,9.17,-25.6,,7.27,11.66,4.9,,10.54,13.53,4.9,6.95,-6.67,,53.43,113.44,132.43,,133.13,126.3,132.43,137.28,140.94,,371,631,282,,-134,444,-380,493,-928,,18.69,10.04,31.9,,15.84,7.69,31.9,12.4,-13.96,,"5,286","5,789","5,987",,"5,952","6,438","5,987","6,360","5,450",,1.31,1.1,1.5,,1.57,0.96,1.5,0.82,0.95,,"4,260","4,265","4,335","4,310","4,410","4,300","4,245","4,310","4,295","4,660","4,650","5,550","5,670","5,600","5,260","5,310","5,160","5,260","5,070","5,090","127,801","183,746","95,642","145,717","205,584","186,764","155,244","234,879","448,502","387,030","1,349,231","306,411","606,024","4,242,724","171,409","254,872","166,035","409,398","96,169","127,183","-53,792","-50,032",-498,"-49,828","-6,772","-66,036","-51,598","-49,903","-88,877","-92,804","-93,711",-259,-484,"6,130",-445,"-13,582","-1,704","-7,174","-1,230",-675,"4,769","-2,376","4,682","-15,053","2,134","12,255","3,117","3,268","-4,385","-4,703","-83,651","-34,872","1,339","-68,760","-39,506","31,905","-56,834","57,679","-4,730","21,162"
